depth,age,sum_pollen,pollen_ID_per,unknown_per,sum_objects_per,abb_pic_mix,abies_b,acer_mix,alnus_mix,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix
280,695,299,72.9,27.09,210.37,9.70,3.34,3.34,0.67,15.72,1.67,3.01,7.69,110.37,6.35,23.41,28.09,4.68,3.01,6.35,24.08
284,816,369,72.9,27.10,212.20,28.18,6.78,3.52,1.90,7.32,1.90,1.08,4.61,112.20,21.41,15.99,22.76,6.78,1.63,5.15,13.82
287,908,310,75.2,24.84,214.52,30.97,5.81,2.90,1.29,10.65,0.97,2.58,6.45,114.52,25.16,11.94,19.03,7.10,0.32,3.23,17.10
290,999,211,73.5,26.54,276.78,19.43,2.84,3.79,0.95,11.85,0.47,6.16,9.95,176.78,16.59,13.74,18.48,4.74,2.37,6.16,19.91
292,1060,301,66.4,33.55,204.32,14.29,2.99,3.32,1.66,7.64,1.66,2.33,7.31,104.32,11.30,22.92,26.91,3.99,1.33,4.65,14.29
295,1139,291,73.2,26.80,204.12,27.84,6.19,1.72,1.03,4.47,2.41,0.34,8.59,104.12,21.65,20.27,26.80,6.53,0.00,1.72,8.59
298,1194,345,73.6,26.38,165.51,28.12,8.41,2.90,2.03,8.70,0.00,0.58,7.54,65.51,19.71,18.55,22.32,3.77,1.45,4.35,14.49
301,1250,304,69.4,30.59,173.03,17.43,4.61,4.93,0.99,4.93,2.63,1.64,4.93,73.03,12.83,20.72,31.58,10.86,0.33,5.26,13.49
304,1305,303,65.7,34.32,241.25,11.22,3.63,0.99,0.00,3.63,2.64,2.31,9.90,141.25,7.59,14.85,33.99,19.14,0.99,1.98,11.55
307,1361,333,76.6,23.42,170.87,30.33,9.01,2.40,0.60,6.31,0.30,0.90,5.11,70.87,21.32,24.92,29.73,4.80,0.90,3.30,9.61
309,1398,552,72.5,27.54,209.42,26.99,5.25,2.72,0.91,7.97,1.81,0.91,3.44,109.42,21.74,14.86,26.27,11.41,1.45,4.17,14.31
313,1472,313,69.3,30.67,293.93,5.75,0.32,3.83,1.60,9.27,1.60,1.92,8.31,193.93,5.43,22.36,35.78,13.42,1.28,5.11,18.85
316,1527,302,73.5,26.49,188.08,15.23,2.65,1.99,1.66,8.28,1.32,0.66,3.64,88.08,12.58,24.17,39.40,15.23,1.32,3.31,14.24
319,1583,389,75.3,24.68,171.21,21.34,4.63,2.31,1.54,12.08,1.03,1.29,3.86,71.21,16.71,19.28,29.56,10.28,2.31,4.63,19.54
322,1632,498,68.1,31.93,170.88,22.89,4.42,7.23,0.60,4.42,1.00,1.20,3.82,70.88,18.47,16.06,24.90,8.84,2.01,9.24,9.24
325,1679,414,72.7,27.29,172.22,28.02,3.86,2.17,0.97,4.11,0.24,0.72,3.62,72.22,24.15,22.22,32.61,10.39,0.24,2.42,7.97
328,1726,291,70.8,29.21,182.82,24.05,4.12,2.41,1.72,6.53,1.37,1.72,4.47,82.82,19.93,20.27,27.84,7.56,0.69,3.09,16.15
331,1773,429,67.8,32.17,187.18,9.32,2.56,4.90,0.00,9.09,1.63,2.10,4.20,87.18,6.76,26.11,36.13,10.02,0.47,5.36,15.38
333,1804,261,70.1,29.89,304.98,16.86,3.83,5.75,1.15,3.45,0.00,2.30,4.98,204.98,13.03,27.20,34.48,7.28,1.15,6.90,9.20
336,1851,324,74.7,25.31,288.89,10.19,2.78,4.63,1.54,8.64,0.93,1.23,5.86,188.89,7.41,28.40,39.51,11.11,2.16,6.79,15.12
339,1898,322,69.9,30.12,258.39,16.15,4.97,3.73,1.86,8.70,1.86,1.24,4.04,158.39,11.18,25.47,31.68,6.21,0.62,4.35,16.77
342,1944,325,71.4,28.62,306.15,6.15,2.15,5.85,2.15,15.38,1.23,1.85,6.15,206.15,4.00,23.08,30.46,7.38,2.15,8.00,24.00
345,1991,310,69.0,30.97,269.35,7.10,0.65,5.48,1.29,5.81,2.58,2.26,6.45,169.35,6.45,27.10,36.77,9.68,1.29,6.77,15.16
348,2038,315,66.3,33.65,282.22,13.33,2.54,4.76,1.27,5.71,1.90,1.59,5.40,182.22,10.79,25.71,32.38,6.67,0.00,4.76,12.70
352,2100,653,66.3,33.69,224.81,8.88,1.99,5.36,1.68,7.20,2.30,1.68,3.68,124.81,6.89,24.04,34.30,10.26,1.23,6.58,15.16
