depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
260,-64,190,45,2,1,1,2,3,0,46,2,2,24,309,126,70,93,6,7,11,62,56
264,62,56,13,5,3,2,0,10,8,18,0,7,15,446,34,16,72,30,4,9,38,51
270,249,27,5,54,31,20,1,1,0,18,3,7,20,337,20,71,159,30,4,64,34,55
273,342,39,4,4,2,2,0,1,1,20,10,2,22,214,31,33,151,74,1,6,40,66
276,434,112,21,4,2,2,2,3,0,14,2,4,9,267,83,53,86,13,3,9,26,38
280,556,32,8,13,4,6,1,2,1,49,5,10,27,334,21,65,96,8,3,26,73,48
284,675,114,28,12,6,3,3,7,4,28,8,7,20,418,77,63,98,10,8,23,53,60
287,762,103,22,8,2,6,2,5,2,36,3,8,24,362,74,32,65,13,3,14,55,45
290,848,43,7,9,4,4,1,3,2,26,2,14,21,381,34,27,45,9,5,16,45,33
292,905,43,9,13,10,2,4,8,4,25,6,8,27,325,31,68,92,9,7,22,50,59
295,987,90,26,5,1,3,1,3,1,14,7,3,27,311,57,51,86,13,1,9,27,44
298,1068,104,34,11,5,6,3,8,4,33,0,4,27,237,68,66,84,2,4,17,53,57
301,1147,63,16,14,9,3,0,3,3,17,8,6,20,226,39,64,106,15,0,18,42,59
304,1223,39,15,6,3,3,0,1,1,12,9,10,36,441,20,25,116,56,2,10,39,57
307,1298,108,27,7,3,3,1,2,1,26,1,4,20,243,68,86,112,10,2,13,34,40
309,1347,167,36,12,5,5,1,6,5,50,10,6,25,615,113,69,163,35,13,29,85,85
313,1442,21,4,15,5,5,3,5,2,31,7,6,30,619,13,65,122,26,4,25,61,54
316,1511,54,11,10,7,2,2,5,3,26,4,2,14,272,39,65,131,31,2,15,43,45
319,1579,90,20,11,4,6,4,8,4,50,5,7,19,283,63,70,131,19,4,19,78,54
322,1645,126,30,33,22,9,4,8,4,22,6,9,28,368,79,60,142,39,7,54,53,88
325,1710,130,25,9,6,2,1,6,4,20,1,5,17,311,95,78,149,29,1,11,36,63
328,1773,76,26,5,4,0,2,6,4,21,5,5,16,245,42,57,90,7,2,10,52,58
331,1834,47,13,18,5,9,0,2,2,40,7,10,22,388,30,109,170,23,7,29,67,88
333,1874,49,17,14,6,8,0,3,2,10,0,7,14,545,24,67,101,14,1,19,26,48
336,1933,37,7,13,8,3,2,7,4,35,5,5,20,620,26,79,135,19,6,26,60,46
339,1991,55,10,9,5,4,4,8,3,30,8,5,17,524,38,82,113,11,3,17,59,55
342,2047,23,11,17,8,8,5,8,2,55,5,7,23,675,10,75,108,11,5,28,83,63
345,2102,25,3,19,8,9,1,5,4,20,8,8,22,533,20,77,122,15,2,26,49,66
348,2156,54,15,14,9,5,1,7,4,21,7,5,22,584,32,68,112,13,2,18,43,59
352,2225,72,19,40,26,10,6,13,5,50,18,13,35,830,46,158,248,31,8,55,109,134
356,2292,32,4,8,4,4,0,1,1,30,5,4,20,353,26,53,81,13,3,16,47,42
358,2325,18,7,22,11,8,3,6,1,39,5,8,25,527,7,56,78,8,9,33,72,63
361,2373,285,114,30,22,7,9,26,15,162,9,47,64,1028,150,173,248,21,31,74,274,188
364,2420,208,56,29,11,17,3,13,8,90,9,20,53,819,135,165,269,36,14,52,152,140
367,2466,47,12,14,7,5,1,3,2,28,2,4,19,424,30,80,107,9,10,29,44,54
370,2511,51,10,6,2,3,1,2,1,17,1,7,15,321,31,84,148,20,2,11,28,39
373,2555,159,41,10,4,4,1,5,4,45,3,13,30,729,104,156,284,52,11,23,78,117
376,2597,50,6,8,3,4,4,5,0,24,1,13,14,289,33,67,98,10,3,13,46,38
379,2639,110,36,4,1,2,0,0,0,10,2,1,8,174,66,79,103,6,2,10,15,39
382,2679,15,2,21,12,3,2,3,1,32,17,7,34,612,12,107,150,15,9,36,70,80
385,2719,63,17,8,3,3,3,6,2,27,6,6,21,535,38,54,117,24,4,14,50,55
388,2758,27,5,12,10,2,1,4,2,17,7,3,19,718,17,52,84,16,4,19,38,61
391,2796,39,12,12,4,5,4,8,4,26,7,5,27,666,23,76,118,10,3,19,62,72
394,2833,80,20,4,2,1,0,0,0,17,1,3,13,496,49,37,52,6,2,8,24,41
397,2869,82,25,10,7,3,1,2,1,19,7,4,12,366,52,48,88,10,1,15,38,47
400,2904,60,14,5,2,2,1,5,3,26,1,3,18,400,39,51,77,4,2,10,42,46
403,2939,55,14,12,9,3,1,2,1,25,8,4,23,411,36,55,95,16,6,20,42,53
406,2972,69,14,11,4,6,0,3,3,20,4,10,19,337,42,48,121,30,2,14,42,36
409,3005,56,17,8,4,4,0,5,4,46,13,7,30,642,34,30,144,56,2,14,78,78
412,3038,112,24,4,2,2,1,2,1,46,2,6,18,553,82,56,112,21,3,10,60,61
415,3070,37,8,10,7,3,0,0,0,21,3,3,17,544,26,65,142,29,4,16,31,47
418,3101,24,3,23,18,5,6,9,2,50,15,4,39,1004,18,62,139,28,4,34,95,78
421,3131,99,21,14,9,5,0,3,1,57,9,12,33,987,67,101,204,36,9,27,92,90
424,3161,58,11,9,6,2,2,2,0,16,3,4,17,366,39,64,89,8,4,14,27,50
427,3190,69,11,17,10,7,1,2,1,50,3,13,21,890,47,93,185,29,2,28,80,59
430,3219,21,3,7,4,0,2,4,2,31,2,6,21,593,17,56,98,13,1,11,52,51
433,3247,26,3,9,3,3,2,3,1,28,2,7,13,536,20,63,103,10,5,22,45,48
